Fund Number, Fund Name, Offer Number, Transitioning Kiwi Saver Scheme Number, Transitioning Scheme Name, Quarterly / Annual Indicator, Period to which disclosure statement relates, Offer Version Number, Scheme Number, Scheme Name, Fund Description, Value of fund as at last quarter, Currency of fund, Number of members in the fund, Date the fund started, Market index description, Market index past year return (%), Past year return(%) net charges and tax, Past year return (%) net of charges gross of tax, Market index return since fund started (%), Return since fund started (%) net, Annual Return Year 1, Annual Return Year 2, Annual Return Year 3, Annual Return Year 4, Annual Return Year 5, Annual Return Year 6, Annual Return Year 7, Annual Return Year 8, Annual Return Year 9, Annual Return Year 10, Market Index Annual Return %1, Market Index Annual Return %2, Market Index Annual Return %3, Market Index Annual Return %4, Market Index Annual Return %5, Market Index Annual Return %6, Market Index Annual Return %7, Market Index Annual Return %8, Market Index Annual Return %9, Market Index Annual Return %10, Annual Return % 1, Annual Return % 2, Annual Return % 3, Annual Return % 4, Annual Return % 5, Annual Return % 6, Annual Return % 7, Annual Return % 8, Annual Return % 9, Annual Return % 10, Total Annual Fund Fees, Manager's basic fee, Total performance-based fees (%), Other management and administration charges, Total amount of other charges, Currency of Total amount of other charges, Actual investment mix: Cash and cash equivalents, Actual investment mix: New Zealand fixed interest, Actual investment mix: International fixed interest, Actual investment mix: Australasian equities, Actual investment mix: International equities, Actual investment mix: Listed Properties, Actual investment mix: Unlisted Properties, Actual investment mix: Unknown, Actual investment mix: Other, Actual investment mix: Commodities, Target investment mix: Cash and cash equivalents, Target investment mix: New Zealand fixed interest, Target investment mix: International fixed interest, Target investment mix: Australasian equities, Target investment mix: International equities, Target investment mix: Listed Properties, Target investment mix: Unlisted Properties, Target investment mix: Other, Target investment mix: Commodities, Total value of 10 highest value assets as a percentage of fund net assets, Top 10 Investments 1: Name, Top 10 Investments 2: Name, Top 10 Investments 3: Name, Top 10 Investments 4: Name, Top 10 Investments 5: Name, Top 10 Investments 6: Name, Top 10 Investments 7: Name, Top 10 Investments 8: Name, Top 10 Investments 9: Name, Top 10 Investments 10: Name, Top 10 Investments 1: Percentage of fund net assets, Top 10 Investments 2: Percentage of fund net assets, Top 10 Investments 3: Percentage of fund net assets, Top 10 Investments 4: Percentage of fund net assets, Top 10 Investments 5: Percentage of fund net assets, Top 10 Investments 6: Percentage of fund net assets, Top 10 Investments 7: Percentage of fund net assets, Top 10 Investments 8: Percentage of fund net assets, Top 10 Investments 9: Percentage of fund net assets, Top 10 Investments 10: Percentage of fund net assets, Top 10 Investments 1: Type, Top 10 Investments 2: Type, Top 10 Investments 3: Type, Top 10 Investments 4: Type, Top 10 Investments 5: Type, Top 10 Investments 6: Type, Top 10 Investments 7: Type, Top 10 Investments 8: Type, Top 10 Investments 9: Type, Top 10 Investments 10: Type, Top 10 Investments 1: Country, Top 10 Investments 2: Country, Top 10 Investments 3: Country, Top 10 Investments 4: Country, Top 10 Investments 5: Country, Top 10 Investments 6: Country, Top 10 Investments 7: Country, Top 10 Investments 8: Country, Top 10 Investments 9: Country, Top 10 Investments 10: Country, Top 10 investments 1: Credit rating (if applicable), Top 10 investments 2: Credit rating (if applicable), Top 10 investments 3: Credit rating (if applicable), Top 10 investments 4: Credit rating (if applicable), Top 10 investments 5: Credit rating (if applicable), Top 10 investments 6: Credit rating (if applicable), Top 10 investments 7: Credit rating (if applicable), Top 10 investments 8: Credit rating (if applicable), Top 10 investments 9: Credit rating (if applicable), Top 10 investments 10: Credit rating (if applicable), Key Personnel 1: name, Key Personnel 2: name, Key Personnel 3: name, Key Personnel 4: name, Key Personnel 5: name, Key Personnel 1: Current Position, Key Personnel 2: Current Position, Key Personnel 3: Current Position, Key Personnel 4: Current Position, Key Personnel 5: Current Position, Key Personnel 1: Time in Current Position - years, Key Personnel 1: Time in Current Position - months, Key personnel 2: Time in Current Position - years, Key Personnel 2: Time in Current Position - months, Key Personnel 3: Time in Current Position - years, Key Personnel 3: Time in Current Position - months, Key Personnel 4: Time in Current Position - years, Key Personnel 4: Time in Current Position - months, Key Personnel 5: Time in Current Position - years, Key Personnel 5: Time in Current Position - months, Key Personnel 1: Previous or Other Position, Key Personnel 2: Previous or Other Position, Key Personnel 3: Previous or Other Position, Key Personnel 4: Previous or Other Position, Key Personnel 5: Previous or Other Position, Key Personnel 1: Time in Previous Position - years, Key Personnel 1: Time in Previous Position - months, Key Personnel 2: Time in Previous Position - years, Key Personnel 2: Time in Previous Position - months, Key Personnel 3: Time in Previous Position - years, Key Personnel 3: Time in Previous Position - months, Key Personnel 4: Time in Previous Position - years, Key Personnel 4: Time in Previous Position - months, Key Personnel 5: Time in Previous Position - years, Key Personnel 5: Time in Previous Position - months
FND134,"AMP BALANCED FUND",OFR10393,KSS10005,"AMP KIWISAVER SCHEME",Quarterly,2018-09-30,522,SCH10367,"AMP KIWISAVER SCHEME","The fund has a well-diversified portfolio that has a balance of risk through holding growth assets and an allocation to lower-risk income assets. The fund aims to achieve medium returns, in exchange there will be some movements up and down in the value of your investments.",936948097.41,NZD,28887,2007-10-01,"A composite index is calculated using the target investment mix weightings of the underlying market indices that the fund invests into. Additional information about the market index is available on the offer register.",9.79,8.22,8.74,7.50,4.99,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,-13.56,18.40,7.64,4.77,12.82,6.93,11.78,2.39,9.61,7.56,-9.82,11.40,4.69,1.06,9.21,6.03,10.30,0.13,7.61,5.01,1.30,1.02,0.00,0.28,23.40,NZD,15.7300,11.8800,13.5300,16.3400,37.2900,4.1600,0.0000,0.0000,0.0000,1.0700,10.00,15.00,18.00,16.00,35.00,4.00,0.00,1.00,1.00,17.3500,"CALL ACCOUNT (WESTPAC BANKING CORPORATION ADVANCE ACCT)","ORBIS GLOBAL EQUITY LE FUND","CALL ACCOUNT (ANZ 32 DAY CONSTANT MATURITY DATE)","NEW ZEALAND GOVERNMENT BOND MATURING 15 APR 27","CALL ACCOUNT (RABOBANK ADVANCE ACCOUNT NZD)","A2 MILK CO LTD","ASB BANK LTD NOTE MATURING 12 NOV 18","FISHER & PAYKEL HEALTHCARE CORP","NEW ZEALAND GOVERNMENT BOND MATURING 14 APR 33","NEW ZEALAND GOVERNMENT BOND MATURING 15 MAY 21",5.3100,3.0800,2.2900,1.2700,1.1900,0.9600,0.8200,0.8100,0.8100,0.8100,CASH_AND_EQUIVALENTS,INTERNATIONAL_EQUITIES,CASH_AND_EQUIVALENTS,NZ_FIXED_INTEREST,CASH_AND_EQUIVALENTS,AUSTRALASIAN_EQUITIES,NZ_FIXED_INTEREST,AUSTRALASIAN_EQUITIES,NZ_FIXED_INTEREST,NZ_FIXED_INTEREST,NZ,AU,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NZ,AA,N/A,AA,AA+,A,N/A,AA-,N/A,AA+,AA+,"SIMON JOHN HOOLE","THERESE MARY SINGLETON","BLAIR ROBERT VERNON",,,"Investment Committee Member","Investment Committee Member","Investment Committee Member",,,1,8,3,8,7,3,,,,,"Chief Financial Officer, AMP Financial Services","General Manager, Advice & Sales, AMP Financial Services","Managing Director, AMP Financial Services",,,4,9,1,9,1,9,,,,,
FND135,"AMP GROWTH FUND",OFR10393,KSS10005,"AMP KIWISAVER SCHEME",Quarterly,2018-09-30,522,SCH10367,"AMP KIWISAVER SCHEME","The fund has a well-diversified portfolio that aims to provide growth, primarily through holding growth assets diversified with a lower allocation to lower-risk income assets. The fund aims to achieve medium to high returns, in exchange there will be larger movements up and down in the value of your investments.",735951308.25,NZD,28200,2007-10-01,"A composite index is calculated using the target investment mix weightings of the underlying market indices that the fund invests into. Additional information about the market index is available on the offer register.",12.46,10.75,11.28,8.04,5.28,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,-20.85,23.89,8.41,3.10,14.07,8.38,12.91,1.10,12.41,9.12,-17.41,14.51,5.20,-0.65,10.27,7.64,12.09,-0.77,9.94,6.29,1.34,1.03,0.00,0.31,23.40,NZD,11.9700,3.8700,5.7600,23.0700,49.1700,4.9400,0.0000,0.0000,0.0000,1.2200,6.00,7.00,10.00,23.00,46.50,5.00,0.00,1.25,1.25,16.8300,"ORBIS GLOBAL EQUITY LE FUND","CALL ACCOUNT (WESTPAC BANKING CORPORATION ADVANCE ACCT)","CALL ACCOUNT (ANZ 32 DAY CONSTANT MATURITY DATE)","A2 MILK CO LTD","FISHER & PAYKEL HEALTHCARE CORP","SPARK NEW ZEALAND LTD","AUCKLAND INTERNATIONAL AIRPORT","CALL ACCOUNT (RABOBANK ADVANCE ACCOUNT NZD)","APPLE INC","FLETCHER BUILDING LTD",4.1300,3.7700,1.7400,1.3600,1.1500,1.1000,0.9600,0.9000,0.8800,0.8400,INTERNATIONAL_EQUITIES,CASH_AND_EQUIVALENTS,CASH_AND_EQUIVALENTS,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,CASH_AND_EQUIVALENTS,INTERNATIONAL_EQUITIES,AUSTRALASIAN_EQUITIES,AU,NZ,NZ,NZ,NZ,NZ,NZ,NZ,US,NZ,N/A,AA,AA,N/A,N/A,N/A,N/A,A,N/A,N/A,"SIMON JOHN HOOLE","THERESE MARY SINGLETON","BLAIR ROBERT VERNON",,,"Investment Committee Member","Investment Committee Member","Investment Committee Member",,,1,8,3,8,7,3,,,,,"Chief Financial Officer, AMP Financial Services","General Manager, Advice & Sales, AMP Financial Services","Managing Director, AMP Financial Services",,,4,9,1,9,1,9,,,,,
FND136,"AMP AGGRESSIVE FUND",OFR10393,KSS10005,"AMP KIWISAVER SCHEME",Quarterly,2018-09-30,522,SCH10367,"AMP KIWISAVER SCHEME","The fund has a well-diversified portfolio that aims to provide growth, primarily through holding growth assets with a low allocation to income assets. The fund aims to achieve high returns, in exchange there will be larger movements up and down in the value of your investments.",320600282.00,NZD,23432,2007-10-01,"A composite index is calculated using the target investment mix weightings of the underlying market indices that the fund invests into. Additional information about the market index is available on the offer register.",13.66,11.94,12.47,8.43,5.53,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,-25.62,27.91,8.93,2.29,15.54,9.44,13.53,0.60,13.89,9.82,-21.11,16.71,5.44,-1.67,11.38,8.53,13.10,-1.07,11.17,6.90,1.45,1.12,0.00,0.33,23.40,NZD,6.9300,1.4600,2.4100,25.0800,55.6400,7.1300,0.0000,0.0000,0.0000,1.3500,5.00,3.00,5.00,24.50,52.75,7.00,0.00,1.38,1.38,16.1900,"ORBIS GLOBAL EQUITY LE FUND","CALL ACCOUNT (WESTPAC BANKING CORPORATION ADVANCE ACCT)","A2 MILK CO LTD","FISHER & PAYKEL HEALTHCARE CORP","SPARK NEW ZEALAND LTD","CALL ACCOUNT (ANZ 32 DAY CONSTANT MATURITY DATE)","AUCKLAND INTERNATIONAL AIRPORT","KIWI PROPERTY GROUP LTD","APPLE INC","FLETCHER BUILDING LTD",4.6500,2.4800,1.4800,1.2500,1.1900,1.1700,1.0500,1.0100,1.0000,0.9100,INTERNATIONAL_EQUITIES,CASH_AND_EQUIVALENTS,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,CASH_AND_EQUIVALENTS,AUSTRALASIAN_EQUITIES,LISTED_PROPERTY,INTERNATIONAL_EQUITIES,AUSTRALASIAN_EQUITIES,AU,NZ,NZ,NZ,NZ,NZ,NZ,NZ,US,NZ,N/A,AA,N/A,N/A,N/A,AA,N/A,N/A,N/A,N/A,"SIMON JOHN HOOLE","THERESE MARY SINGLETON","BLAIR ROBERT VERNON",,,"Investment Committee Member","Investment Committee Member","Investment Committee Member",,,1,8,3,8,7,3,,,,,"Chief Financial Officer, AMP Financial Services","General Manager, Advice & Sales, AMP Financial Services","Managing Director, AMP Financial Services",,,4,9,1,9,1,9,,,,,
FND137,"ANZ BALANCED GROWTH FUND",OFR10393,KSS10005,"AMP KIWISAVER SCHEME",Quarterly,2018-09-30,522,SCH10367,"AMP KIWISAVER SCHEME","The fund invests mainly in share and listed property assets, with some exposure to cash and fixed interest assets. The fund aims to achieve investment performance ahead of inflation over the long term and achieve investment performance that reflects the level of risk applicable to the fund's underlying asset classes.",259612652.74,NZD,6768,2007-10-01,"A composite index is calculated using the target investment mix weightings of the underlying market indices that the fund invests into. Additional information about the market index is available on the offer register.",10.34,9.11,9.46,8.72,7.01,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,-14.30,23.00,8.24,5.37,12.68,9.01,16.12,4.13,9.71,7.79,-12.78,19.30,6.19,3.03,12.26,8.57,14.60,3.40,6.28,6.02,1.20,1.07,0.00,0.13,23.40,NZD,7.2000,8.0200,17.7000,14.5200,42.6800,9.8800,0.0000,0.0000,0.0000,0.0000,6.00,9.00,20.00,14.00,41.00,10.00,0.00,0.00,0.00,100.0000,"ANZ WHOLESALE BALANCED GROWTH FUND",,,,,,,,,,100.0000,,,,,,,,,,FUND,,,,,,,,,,NZ,,,,,,,,,,N/A,,,,,,,,,,"SIMON JOHN HOOLE","THERESE MARY SINGLETON","BLAIR ROBERT VERNON",,,"Investment Committee Member","Investment Committee Member","Investment Committee Member",,,1,8,3,8,7,3,,,,,"Chief Financial Officer, AMP Financial Services","General Manager, Advice & Sales, AMP Financial Services","Managing Director, AMP Financial Services",,,4,9,1,9,1,9,,,,,
FND138,"MERCER BALANCED FUND",OFR10393,KSS10005,"AMP KIWISAVER SCHEME",Quarterly,2018-09-30,522,SCH10367,"AMP KIWISAVER SCHEME","The fund invests in a wide range of assets which may be suitable for long-term investors who want a diversified investment with exposure to shares, real assets, alternative assets, fixed interest and cash. The fund aims to achieve enhanced longer term returns from the 55% benchmark allocation to growth assets.",42325408.24,NZD,1672,2007-10-01,"A composite index is calculated using the target investment mix weightings of the underlying market indices that the fund invests into. Additional information about the market index is available on the offer register.",9.38,8.45,9.00,7.51,5.91,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,-11.26,17.81,6.19,2.36,11.14,9.35,12.11,5.89,7.34,7.77,-9.83,15.69,4.67,0.50,9.03,7.34,9.40,4.84,6.35,6.10,1.39,1.12,0.00,0.27,23.40,NZD,15.2000,8.9000,18.6200,8.0700,35.7500,2.0000,3.4000,0.0000,6.5300,1.5300,10.00,10.00,25.00,10.00,31.50,3.00,3.00,6.00,1.50,100.0000,"MERCER BALANCED PORTFOLIO",,,,,,,,,,100.0000,,,,,,,,,,FUND,,,,,,,,,,NZ,,,,,,,,,,N/A,,,,,,,,,,"SIMON JOHN HOOLE","THERESE MARY SINGLETON","BLAIR ROBERT VERNON",,,"Investment Committee Member","Investment Committee Member","Investment Committee Member",,,1,8,3,8,7,3,,,,,"Chief Financial Officer, AMP Financial Services","General Manager, Advice & Sales, AMP Financial Services","Managing Director, AMP Financial Services",,,4,9,1,9,1,9,,,,,
FND139,"NIKKO AM BALANCED FUND",OFR10393,KSS10005,"AMP KIWISAVER SCHEME",Quarterly,2018-09-30,522,SCH10367,"AMP KIWISAVER SCHEME","The fund aims to provide investors with a carefully constructed balance of diversified assets in a manner that aims to both optimise investment returns and minimise the risks of investment loss, and to preserve the capital value of investing funds over the longer term in real terms.",58823513.85,NZD,2193,2007-10-01,"A composite index is calculated using the target investment mix weightings of the underlying market indices that the fund invests into. Additional information about the market index is available on the offer register.",8.76,9.99,10.54,7.81,6.36,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,-9.62,17.13,6.78,5.32,10.17,8.38,13.86,6.07,7.43,7.82,-13.48,17.47,5.05,-0.10,9.77,7.60,12.27,7.31,5.13,9.60,1.78,1.07,0.00,0.71,23.40,NZD,4.9700,17.8900,4.9700,20.9100,26.0600,5.1000,0.0000,0.0000,20.1000,0.0000,5.00,18.00,5.00,21.00,26.00,5.00,0.00,20.00,0.00,100.0000,"NIKKO AM WHOLESALE BALANCED FUND",,,,,,,,,,100.0000,,,,,,,,,,FUND,,,,,,,,,,NZ,,,,,,,,,,N/A,,,,,,,,,,"SIMON JOHN HOOLE","THERESE MARY SINGLETON","BLAIR ROBERT VERNON",,,"Investment Committee Member","Investment Committee Member","Investment Committee Member",,,1,8,3,8,7,3,,,,,"Chief Financial Officer, AMP Financial Services","General Manager, Advice & Sales, AMP Financial Services","Managing Director, AMP Financial Services",,,4,9,1,9,1,9,,,,,
FND14,"MERCER MODERATE FUND",OFR10255,KSS/10003,"MERCER KIWISAVER SCHEME",Quarterly,2018-09-30,160,SCH10245,"MERCER KIWISAVER SCHEME","Invests in cash and fixed interest, with about a third of investments being in growth assets such as shares and real assets. May be suitable for investors who want to invest in a broad mix of assets and who are comfortable with a higher degree of volatility in returns than can be expected from the Conservative fund.",97145468.79,NZD,3284,2015-02-18,"The composite index return is the strategic asset allocation weighted benchmark index return, where the benchmark indices are defined in the Statement of Investment Policy and Objectives. Also refer to the Market/composite index explanation document in the Documents section.",5.21,5.01,5.59,5.33,4.58,2016,2017,2018,,,,,,,,4.57,5.42,5.42,,,,,,,,3.26,5.12,4.78,,,,,,,,0.79,0.59,0.00,0.20,30.00,NZD,29.1500,11.7200,22.2100,5.0200,20.7700,1.0100,2.5000,0.0000,6.6600,0.9600,24.00%,13.00%,28.00%,7.00%,16.00%,2.00%,2.00%,7.00%,1.00%,42.9100,"AMP CAPITAL INVESTORS NZ CASH FUND","CHALLENGER HARRIS GLOBAL SOVEREIGN BOND TRUST","ROBECO GLOBAL CREDIT FUND","NEW ZEALAND GOVERNMENT BOND 6% 15/05/2021","NEW ZEALAND GOVERNMENT BOND 5% 15/03/2019","NEW ZEALAND GOVERNMENT BOND 5.5% 15/04/2023","NEW ZEALAND GOVERNMENT BOND 3% 15/04/2020","NEW ZEALAND GOVERNMENT BOND 4.50% 15/04/2027","WESTPAC BUSINESS INTEREST ACCOUNT","NEW ZEALAND GOVERNMENT BOND 3.50% 14/04/2033",27.5100,2.8400,2.5700,2.2000,1.6900,1.6900,1.3400,1.2100,0.9700,0.8900,CASH_AND_EQUIVALENTS,INT_FIXED_INTEREST,INT_FIXED_INTEREST,NZ_FIXED_INTEREST,NZ_FIXED_INTEREST,NZ_FIXED_INTEREST,NZ_FIXED_INTEREST,NZ_FIXED_INTEREST,CASH_AND_EQUIVALENTS,NZ_FIXED_INTEREST,NZ,AU,AU,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NA,NA,NA,AA+,AA+,AA+,AA+,AA+,AA-,AA+,"ROSS BUTLER","MARTIN LEWINGTON","PHILIP HOUGHTON-BROWN","KYLIE WILLMENT",,"Chairman - Mercer (N.Z.) Ltd","CEO - Mercer (N.Z.) Ltd","Chief Investment Officer - New Zealand, Mercer (N.Z.) Ltd","Chief Investment Officer, Pacific, Mercer Australia (Pty) Ltd",,5,9,9,7,6,2,0,11,,,"Chairman - Mercer Investment Nominees (NZ) Ltd","Head of Investments - Mercer (N.Z.) Ltd","Chief Investment Officer - OnePath (NZ) Ltd","Senior Manager, Investment & Client Strategy - TCorp (NSW Treasury Corporation)",,2,0,3,8,5,3,17,0,,,
FND15,"MERCER BALANCED FUND",OFR10255,KSS/10003,"MERCER KIWISAVER SCHEME",Quarterly,2018-09-30,160,SCH10245,"MERCER KIWISAVER SCHEME","Invests in a wide range of assets. May be suitable for investors who want a diversified investment with exposure to shares, real assets, alternative assets, fixed interest and cash, who are comfortable with a higher degree of volatility in returns than can be expected from the Moderate fund and who can invest for the long term.",365815766.09,NZD,11465,2007-10-01,"The composite index return is the strategic asset allocation weighted benchmark index return, where the benchmark indices are defined in the Statement of Investment Policy and Objectives. Also refer to the Market/composite index explanation document in the Documents section.",7.22,7.21,7.63,7.67,6.09,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,-15.31,23.52,5.93,4.74,11.55,10.63,13.11,4.45,7.63,7.00,-20.75,24.53,5.41,0.05,7.91,8.03,11.34,3.52,7.30,6.51,0.92,0.68,0.00,0.24,30.00,NZD,15.8400,8.8200,18.4800,7.9800,33.6600,1.9700,3.3800,0.0000,8.3500,1.5200,10.00%,10.00%,25.00%,10.00%,28.50%,3.00%,3.00%,9.00%,1.50%,27.8600,"AMP CAPITAL INVESTORS NZ CASH FUND","CHALLENGER HARRIS GLOBAL SOVEREIGN BOND TRUST","ROBECO GLOBAL CREDIT FUND","NEW ZEALAND GOVERNMENT BOND 6% 15/05/2021","BNP PARIBAS US DOLLAR ACCOUNT","NEW ZEALAND GOVERNMENT BOND 5% 15/03/2019","NEW ZEALAND GOVERNMENT BOND 5.5% 15/04/2023","FIRST STATE INVESTMENTS GLOBAL LISTED INFRASTRUCTURE FUND","T ROWE PRICE GLOBAL UNCONSTRAINED BOND FUND","NEW ZEALAND GOVERNMENT BOND 3% 15/04/2020",14.8700,2.1300,1.9900,1.6600,1.2800,1.2700,1.2700,1.2400,1.1400,1.0100,CASH_AND_EQUIVALENTS,INT_FIXED_INTEREST,INT_FIXED_INTEREST,NZ_FIXED_INTEREST,INTERNATIONAL_EQUITIES,NZ_FIXED_INTEREST,NZ_FIXED_INTEREST,OTHER,INT_FIXED_INTEREST,NZ_FIXED_INTEREST,NZ,AU,AU,NZ,US,NZ,NZ,NZ,AU,NZ,NA,NA,NA,AA+,NA,AA+,AA+,NA,NA,AA+,"ROSS BUTLER","MARTIN LEWINGTON","PHILIP HOUGHTON-BROWN","KYLIE WILLMENT",,"Chairman - Mercer (N.Z.) Ltd","CEO - Mercer (N.Z.) Ltd","Chief Investment Officer - New Zealand, Mercer (N.Z.) Ltd","Chief Investment Officer, Pacific, Mercer Australia (Pty) Ltd",,5,9,9,7,6,2,0,11,,,"Chairman - Mercer Investment Nominees (NZ) Ltd","Head of Investments - Mercer (N.Z.) Ltd","Chief Investment Officer - OnePath (NZ) Ltd","Senior Manager, Investment & Client Strategy - TCorp (NSW Treasury Corporation)",,2,0,3,8,5,3,17,0,,,
FND1579,"INCOME STRATEGY",OFR10808,KSS10072,"NZ FUNDS KIWISAVER SCHEME",Quarterly,2018-09-30,89,SCH10783,"NZ FUNDS KIWISAVER SCHEME","The objective of the Income Strategy is to provide exposure to income assets using an active management approach. It is anticipated that the fund will mainly hold cash and cash equivalents, and Australasian and international bonds. It may also invest in other permitted assets.",26470616.50,NZD,7524,2010-11-01,"The market index is a composite index calculated using the market indices and weightings set out in the Statement of Investment Policy and Objectives.",2.40,1.53,2.12,4.85,2.84,2012,2013,2014,2015,2016,2017,2018,,,,7.27,7.28,2.38,7.70,3.72,3.59,3.93,,,,3.14,4.67,1.72,3.14,2.70,2.82,1.67,,,,1.15,0.95,0.00,0.20,36.00,NZD,17.8900,36.1400,45.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18,36,46,0,0,0,0,0,0,46.4900,"WESTPAC 32 DAY TERM DEPOSIT","VECTOR 4.996% 14/03/2024","WESTPAC CURRENT ACCOUNT","INSURANCE AUSTRALIA GROUP 5.15% 15/06/2043","CITIBANK HONG KONG USD CURRENT ACCOUNT","BLUESCOPE STEEL FINANCE USA 4.625% 25/05/2023","HCA 4.75% 05/01/2023","ICAHN ENTER/FIN IEP 5.875% 02/01/2022","WESTPAC BANKING 4.695% 01/09/2026","CROWN SUBORDINATED NOTES 23/04/2075",7.5600,5.5500,4.9100,4.6000,4.4500,4.3400,4.1300,3.8000,3.7600,3.3900,CASH_AND_EQUIVALENTS,NZ_FIXED_INTEREST,CASH_AND_EQUIVALENTS,NZ_FIXED_INTEREST,CASH_AND_EQUIVALENTS,INT_FIXED_INTEREST,INT_FIXED_INTEREST,INT_FIXED_INTEREST,NZ_FIXED_INTEREST,INT_FIXED_INTEREST,NZ,NZ,NZ,NZ,US,AU,US,US,NZ,AU,A-1+,BBB,A-1+,BBB,A-1,BBB-,BBB-,BB+,BBB,,"RICHARD JAMES","MICHAEL LANG","DAVID WILSON","JAMES GRIGOR","MARK BROOKS","Chief Executive, Chair of the Investment Committee and a Director","Chief Investment Officer and a Director","Investment Strategist and a Principal","Senior Portfolio Manager and a Principal","Head of Income and a Principal",9,7,10,1,21,9,1,5,10,10,"Chief Operating Officer, New Zealand Funds Management Limited","Partner, Eclectica Asset Management","Chief Economist, JB Were","Head of Portfolio Strategy Group, Macquarie Private Wealth (now Hobson Wealth Partners)","Senior Portfolio Manager, Credaris",6,1,1,8,3,5,2,4,3,4,
FND1581,"INFLATION STRATEGY",OFR10808,KSS10072,"NZ FUNDS KIWISAVER SCHEME",Quarterly,2018-09-30,89,SCH10783,"NZ FUNDS KIWISAVER SCHEME","The objective of the Inflation Strategy is to mitigate the impact of inflation on your investment over the medium and/or long term by investing in income and growth assets using an active management approach. It is anticipated that the fund will mainly hold inflation-sensitive assets including cash and cash equivalents, Australasian and international bonds, and Australasian and international shares. It may also invest in other permitted assets.",43797115.76,NZD,7500,2010-11-01,"The market index is a composite index calculated using the market indices and weightings set out in the Statement of Investment Policy and Objectives.",10.66,8.69,9.75,9.94,5.01,2012,2013,2014,2015,2016,2017,2018,,,,2.01,15.79,13.56,13.28,2.44,10.81,8.97,,,,0.02,10.24,3.58,12.41,-1.33,4.79,2.99,,,,1.45,1.15,0.00,0.30,36.00,NZD,10.0300,2.6900,12.1700,35.5500,37.0300,2.2400,0.0000,0.0000,0.2900,0.0000,10,3,13,35,37,2,0,0,0,55.9300,"WESTPAC 32 DAY TERM DEPOSIT","WESTPAC CURRENT ACCOUNT","FLETCHER BUILDING","RIO TINTO PLC ADR","MERIDIAN ENERGY","FIRST QUANTUM MINERALS 6.875% 01/03/2026","IMPALA RESOURCE FUND","BAUSCH HEALTH 4.5% 15/05/2023","PRECINCT PROPERTIES NEW ZEALAND 4.8% 27/09/2021","NATIONAL AUSTRALIA BANK INCOME SECURITIES PERPETUAL",18.5200,8.8100,5.2100,5.0900,3.4100,3.4100,3.1800,2.9700,2.7400,2.5900,CASH_AND_EQUIVALENTS,CASH_AND_EQUIVALENTS,AUSTRALASIAN_EQUITIES,INTERNATIONAL_EQUITIES,AUSTRALASIAN_EQUITIES,INT_FIXED_INTEREST,INTERNATIONAL_EQUITIES,INT_FIXED_INTEREST,NZ_FIXED_INTEREST,AUSTRALASIAN_EQUITIES,NZ,NZ,NZ,US,NZ,CA,KY,CA,NZ,AU,A-1+,A-1+,,,,B,,B-,,BBB-,"RICHARD JAMES","MICHAEL LANG","DAVID WILSON","JAMES GRIGOR","MARK BROOKS","Chief Executive, Chair of the Investment Committee and a Director","Chief Investment Officer and a Director","Investment Strategist and a Principal","Senior Portfolio Manager and a Principal","Head of Income and a Principal",9,7,10,1,21,9,1,5,10,10,"Chief Operating Officer, New Zealand Funds Management Limited","Partner, Eclectica Asset Management","Chief Economist, JB Were","Head of Portfolio Strategy Group, Macquarie Private Wealth (now Hobson Wealth Partners)","Senior Portfolio Manager, Credaris",6,1,1,8,3,5,2,4,3,4,
